GEOID,NAME,B19013_001E,B19013_001M,year
36047,Kings County, New York,42894,370,2009
36047,Kings County, New York,43567,444,2010
36047,Kings County, New York,44593,404,2011
36047,Kings County, New York,45215,420,2012
36047,Kings County, New York,46085,477,2013
36047,Kings County, New York,46958,433,2014
36047,Kings County, New York,48201,419,2015
36047,Kings County, New York,50640,322,2016
36047,Kings County, New York,52782,467,2017
36047,Kings County, New York,56015,536,2018
36047,Kings County, New York,60231,637,2019
36047,Kings County, New York,63973,679,2020
36047,Kings County, New York,67753,821,2021
36047,Kings County, New York,74692,946,2022
36047,Kings County, New York,78548,1052,2023
